Time(s),Input(v),Output(v),Output(m),Velocity
14.6,2.407,0,0,
14.7,2.417,0,0,0
14.8,2.417,0,0,0
14.9,2.407,0,0,0
15,2.407,0,0,0
15.1,2.407,0,0,0
15.2,2.407,0,0,0
15.3,2.407,0,0,0
15.4,2.407,0,0,0
15.5,2.407,0,0,0
15.6,2.407,0,0,0
15.7,2.407,0,0,0
15.8,2.407,0,0,0
15.9,2.407,0,0,0
16,2.407,0,0,0
16.1,2.407,0,0,0
16.2,2.407,0,0,0
16.3,2.407,0,0,0
16.4,2.407,0,0,0
16.5,2.407,0,0,0
16.6,2.407,0,0,0
16.7,2.417,0,0,0
16.8,2.407,0,0,0
16.9,2.407,0,0,0
17,2.407,0,0,0
17.1,2.417,0,0,0
17.2,2.692,0,0,0
17.3,5,0.005,0.008,0.08
17.4,5,0.08,0.125,1.17
17.5,5,0.223,0.348,2.23
17.6,5,0.433,0.676,3.28
17.7,5,0.708,1.107,4.31
17.8,5,1.048,1.638,5.31
17.9,5,1.452,2.269,6.31
18,5,1.917,2.996,7.27
18.1,5,2.444,3.819,8.23
18.2,5,3.031,4.735,9.16
18.3,5,3.676,5.744,10.09
18.4,5,4.379,6.842,10.98
18.5,5,5.139,8.03,11.88
18.6,5,5.954,9.304,12.74
18.7,5,6.825,10.663,13.59
18.8,5,7.748,12.107,14.44
18.9,5,8.725,13.633,15.26
19,5,9.753,15.24,16.07
19.1,5,10,16.926,16.86
19.2,5,10,18.69,17.64
19.3,5,10,20.53,18.4
19.4,5,10,22.446,19.16
19.5,5,10,24.435,19.89
19.6,5,10,26.497,20.62
19.7,5,10,28.629,21.32
19.8,5,10,30.832,22.03
19.9,5,10,33.103,22.71
20,5,10,35.441,23.38
20.1,5,10,37.846,24.05
20.2,5,10,40.315,24.69
20.3,5,10,42.847,25.32
20.4,5,10,45.443,25.96
20.5,5,10,48.099,26.56
20.6,5,10,50.816,27.17
20.7,5,10,53.592,27.76
20.8,5,10,56.426,28.34
20.9,5,10,59.317,28.91
21,5,10,62.264,29.47
21.1,5,10,65.266,30.02
21.2,5,10,68.322,30.56
21.3,5,10,71.431,31.09
21.4,5,10,74.591,31.6
21.5,5,10,77.803,32.12
21.6,5,10,81.065,32.62
21.7,5,10,84.376,33.11
21.8,5,10,87.736,33.6
21.9,5,10,91.143,34.07
22,5,10,94.596,34.53
22.1,5,10,98.095,34.99
22.2,5,10,101.639,35.44
22.3,5,10,105.227,35.88
22.4,5,10,108.859,36.32
22.5,5,10,112.532,36.73
22.6,5,10,116.248,37.16
22.7,5,10,120.004,37.56
22.8,5,10,123.801,37.97
22.9,5,10,127.637,38.36
23,5,10,131.512,38.75
23.1,5,10,135.424,39.12
23.2,5,10,139.375,39.51
23.3,5,10,143.361,39.86
23.4,5,10,147.384,40.23
23.5,5,10,151.442,40.58
23.6,5,10,155.535,40.93
23.7,5,10,159.662,41.27
23.8,5,10,163.822,41.6
23.9,5,10,168.016,41.94
24,5,10,172.241,42.25
24.1,5,10,176.498,42.57
24.2,5,10,180.786,42.88
24.3,5,10,185.105,43.19
24.4,5,10,189.453,43.48
24.5,5,10,193.831,43.78
24.6,5,10,198.238,44.07
24.7,5,10,202.673,44.35
24.8,5,10,207.136,44.63
24.9,5,10,211.626,44.9
25,5,10,216.143,45.17
25.1,5,10,220.687,45.44
25.2,5,10,225.256,45.69
25.3,5,10,229.851,45.95
25.4,5,10,234.47,46.19
25.5,5,10,239.114,46.44
25.6,5,10,243.782,46.68
25.7,5,10,248.474,46.92
25.8,5,10,253.189,47.15
25.9,5,10,257.926,47.37
26,5,10,262.686,47.6
26.1,5,10,267.468,47.82
26.2,5,10,272.271,48.03
26.3,5,10,277.095,48.24
26.4,5,10,281.94,48.45
26.5,5,10,286.806,48.66
26.6,5,10,291.691,48.85
26.7,5,10,296.596,49.05
26.8,5,10,301.52,49.24
26.9,5,10,306.464,49.44
27,5,10,311.425,49.61
27.1,5,10,316.405,49.8
27.2,5,10,321.403,49.98
27.3,5,10,326.419,50.16
27.4,5,10,331.451,50.32
27.5,5,10,336.501,50.5
27.6,5,10,341.567,50.66
27.7,5,10,346.65,50.83
27.8,5,10,351.748,50.98
27.9,5,10,356.863,51.15
28,5,10,361.992,51.29
28.1,5,10,367.137,51.45
28.2,5,10,372.297,51.6
28.3,5,10,377.471,51.74
28.4,5,10,382.66,51.89
28.5,5,10,387.863,52.03
28.6,5,10,393.08,52.17
28.7,5,10,398.31,52.3
28.8,5,10,403.554,52.44
28.9,5,10,408.81,52.56
29,5,10,414.08,52.7
29.1,5,10,419.362,52.82
29.2,5,10,424.657,52.95
29.3,5,10,429.963,53.06
29.4,5,10,435.282,53.19
29.5,5,10,440.612,53.3
29.6,5,10,445.954,53.42
29.7,5,10,451.307,53.53
29.8,5,10,456.672,53.65
29.9,5,10,462.047,53.75
30,5,10,467.433,53.86
30.1,5,10,472.829,53.96
30.2,5,10,478.236,54.07
30.3,5,10,483.653,54.17
30.4,5,10,489.079,54.26
30.5,5,10,494.516,54.37
30.6,5,10,499.962,54.46
30.7,5,10,505.417,54.55
30.8,5,10,510.882,54.65
30.9,5,10,516.356,54.74
31,5,10,521.838,54.82
31.1,5,10,527.33,54.92
31.2,5,10,532.83,55
31.3,5,10,538.338,55.08
31.4,5,10,543.855,55.17
31.5,5,10,549.379,55.24
31.6,5,10,554.912,55.33
31.7,5,10,560.453,55.41
31.8,5,10,566.001,55.48
31.9,5,10,571.557,55.56
32,5,10,577.12,55.63
32.1,5,10,582.69,55.7
32.2,5,10,588.268,55.78
32.3,5,10,593.852,55.84
32.4,5,10,599.444,55.92
32.5,5,10,605.042,55.98
32.6,5,10,610.647,56.05
32.7,5,10,616.258,56.11
32.8,5,10,621.876,56.18
32.9,5,10,627.5,56.24
33,5,10,633.13,56.3
33.1,5,10,638.766,56.36
33.2,5,10,644.408,56.42
33.3,5,10,650.056,56.48
33.4,5,10,655.71,56.54
33.5,5,10,661.369,56.59
33.6,5,10,667.034,56.65
33.7,5,10,672.704,56.7
33.8,5,10,678.38,56.76
33.9,5,10,684.061,56.81
34,5,10,689.747,56.86
34.1,5,10,695.437,56.9
34.2,5,10,701.133,56.96
34.3,5,10,706.834,57.01
34.4,5,10,712.54,57.06
34.5,5,10,718.25,57.1
34.6,5,10,723.964,57.14
34.7,5,10,729.684,57.2
34.8,5,10,735.407,57.23
34.9,5,10,741.135,57.28
35,5,10,746.868,57.33
35.1,5,10,752.604,57.36
35.2,5,10,758.345,57.41
35.3,5,10,764.089,57.44
35.4,5,10,769.838,57.49
35.5,5,10,775.59,57.52
35.6,5,10,781.347,57.57
35.7,5,10,787.107,57.6
35.8,5,10,792.87,57.63
35.9,5,10,798.638,57.68
36,5,10,804.408,57.7
36.1,5,10,810.183,57.75
36.2,5,10,815.961,57.78
36.3,5,10,821.742,57.81
36.4,5,10,827.526,57.84
36.5,5,10,833.314,57.88
36.6,5,10,839.105,57.91
36.7,5,10,844.899,57.94
36.8,5,10,850.696,57.97
36.9,5,10,856.496,58
37,5,10,862.299,58.03
37.1,5,10,868.104,58.05
37.2,5,10,873.913,58.09
37.3,5,10,879.725,58.12
37.4,5,10,885.539,58.14
37.5,5,10,891.356,58.17
37.6,5,10,897.175,58.19
37.7,5,10,902.998,58.23
37.8,5,10,908.822,58.24
37.9,5,10,914.649,58.27
38,5,10,920.479,58.3
38.1,5,10,926.311,58.32
38.2,5,10,932.146,58.35
38.3,5,10,937.983,58.37
38.4,5,10,943.822,58.39
38.5,5,10,949.663,58.41
38.6,5,10,955.506,58.43
38.7,5,10,961.352,58.46
38.8,5,10,967.2,58.48
38.9,5,10,973.05,58.5
39,5,10,978.902,58.52
39.1,5,10,984.756,58.54
39.2,5,10,990.611,58.55
39.3,5,10,996.469,58.58
39.4,5,10,1002.329,58.6
39.5,5,10,1008.19,58.61
39.6,5,10,1014.054,58.64
39.7,5,10,1019.919,58.65
39.8,5,10,1025.786,58.67
39.9,5,10,1031.655,58.69
40,5,10,1037.525,58.7
40.1,5,10,1043.397,58.72
40.2,5,10,1049.271,58.74
40.3,5,10,1055.146,58.75
40.4,5,10,1061.023,58.77
40.5,5,10,1066.902,58.79
40.6,5,10,1072.782,58.8
40.7,5,10,1078.663,58.81
40.8,5,10,1084.546,58.83
40.9,5,10,1090.43,58.84
41,5,10,1096.316,58.86
41.1,5,10,1102.203,58.87
41.2,5,10,1108.092,58.89
41.3,5,10,1113.982,58.9
41.4,5,10,1119.873,58.91
41.5,5,10,1125.765,58.92
41.6,5,10,1131.659,58.94
41.7,5,10,1137.554,58.95
41.8,5,10,1143.45,58.96
41.9,5,10,1149.348,58.98
42,5,10,1155.246,58.98
42.1,5,10,1161.146,59
42.2,5,10,1167.047,59.01
42.3,5,10,1172.949,59.02
42.4,5,10,1178.852,59.03
42.5,5,10,1184.756,59.04
42.6,5,10,1190.661,59.05
42.7,5,10,1196.568,59.07
42.8,5,10,1202.475,59.07
42.9,5,10,1208.383,59.08
43,5,10,1214.292,59.09
43.1,5,10,1220.203,59.11
43.2,5,10,1226.114,59.11
43.3,5,10,1232.026,59.12
43.4,5,10,1237.939,59.13
43.5,5,10,1243.853,59.14
43.6,5,10,1249.767,59.14
43.7,5,10,1255.683,59.16
43.8,5,10,1261.6,59.17
43.9,5,10,1267.517,59.17
44,5,10,1273.435,59.18
44.1,5,10,1279.354,59.19
44.2,5,10,1285.273,59.19
44.3,5,10,1291.194,59.21
44.4,5,10,1297.115,59.21
44.5,5,10,1303.037,59.22
44.6,5,10,1308.96,59.23
44.7,5,10,1314.883,59.23
44.8,5,10,1320.807,59.24
44.9,5,10,1326.732,59.25
45,5,10,1332.658,59.26
45.1,5,10,1338.584,59.26
45.2,5,10,1344.511,59.27
45.3,5,10,1350.438,59.27
45.4,5,10,1356.366,59.28
45.5,5,10,1362.295,59.29
45.6,5,10,1368.224,59.29
45.7,5,10,1374.154,59.3
45.8,5,10,1380.084,59.3
45.9,5,10,1386.015,59.31
46,5,10,1391.947,59.32
46.1,5,10,1397.879,59.32
46.2,5,10,1403.812,59.33
46.3,5,10,1409.745,59.33
46.4,5,10,1415.679,59.34
46.5,5,10,1421.613,59.34
46.6,5,10,1427.548,59.35
46.7,5,10,1433.483,59.35
46.8,5,10,1439.419,59.36
46.9,5,10,1445.355,59.36
47,5,10,1451.292,59.37
47.1,5,10,1457.229,59.37
47.2,5,10,1463.167,59.38
47.3,5,10,1469.105,59.38
47.4,5,10,1475.043,59.38
47.5,5,10,1480.982,59.39
47.6,5,10,1486.922,59.4
47.7,5,10,1492.861,59.39
47.8,5,10,1498.802,59.41
47.9,5,10,1504.742,59.4
48,5,10,1510.683,59.41
48.1,5,10,1516.624,59.41
48.2,5,10,1522.566,59.42
48.3,5,10,1528.508,59.42
48.4,5,10,1534.451,59.43
48.5,5,10,1540.394,59.43
48.6,5,10,1546.337,59.43
48.7,5,10,1552.28,59.43
48.8,5,10,1558.224,59.44
48.9,5,10,1564.168,59.44
49,5,10,1570.113,59.45
49.1,5,10,1576.058,59.45
49.2,5,10,1582.003,59.45
49.3,5,10,1587.948,59.45
49.4,5,10,1593.894,59.46
49.5,5,10,1599.84,59.46
49.6,5,10,1605.786,59.46
49.7,5,10,1611.733,59.47
49.8,5,10,1617.68,59.47
49.9,5,10,1623.627,59.47
50,5,10,1629.574,59.47
50.1,5,10,1635.522,59.48
50.2,5,10,1641.47,59.48
50.3,5,10,1647.418,59.48
50.4,5,10,1653.367,59.49
50.5,5,10,1659.315,59.48
50.6,5,10,1665.264,59.49
50.7,5,10,1671.214,59.5
50.8,5,10,1677.163,59.49
50.9,5,10,1683.113,59.5
51,5,10,1689.063,59.5
51.1,5,10,1695.013,59.5
51.2,5,10,1700.963,59.5
51.3,5,10,1706.913,59.5
51.4,5,10,1712.864,59.51
51.5,5,10,1718.815,59.51
51.6,5,10,1724.766,59.51
51.7,5,10,1730.718,59.52
51.8,5,10,1736.669,59.51
51.9,5,10,1742.621,59.52
52,5,10,1748.573,59.52
52.1,5,10,1754.525,59.52
52.2,5,10,1760.477,59.52
52.3,5,10,1766.43,59.53
52.4,5,10,1772.382,59.52
52.5,5,10,1778.335,59.53
52.6,5,10,1784.288,59.53
52.7,5,10,1790.241,59.53
52.8,5,10,1796.195,59.54
52.9,5,10,1802.148,59.53
53,5,10,1808.102,59.54
53.1,5,10,1814.055,59.53
53.2,5,10,1820.009,59.54
53.3,5,10,1825.963,59.54
53.4,5,10,1831.918,59.55
53.5,5,10,1837.872,59.54
53.6,5,10,1843.826,59.54
53.7,5,10,1849.781,59.55
53.8,5,10,1855.736,59.55
53.9,5,10,1861.691,59.55
54,5,10,1867.646,59.55
54.1,5,10,1873.601,59.55
54.2,5,10,1879.556,59.55
54.3,5,10,1885.511,59.55
54.4,5,10,1891.467,59.56
54.5,5,10,1897.423,59.56
54.6,5,10,1903.378,59.55
54.7,5,10,1909.334,59.56
54.8,5,10,1915.29,59.56
54.9,5,10,1921.246,59.56
55,5,10,1927.203,59.57
55.1,5,10,1933.159,59.56
55.2,5,10,1939.115,59.56
55.3,5,10,1945.072,59.57
55.4,5,10,1951.028,59.56
55.5,5,10,1956.985,59.57
55.6,5,10,1962.942,59.57
55.7,5,10,1968.899,59.57
55.8,5,10,1974.856,59.57
55.9,5,10,1980.813,59.57
56,5,10,1986.77,59.57
56.1,5,10,1992.727,59.57
56.2,5,10,1998.685,59.58
56.3,5,10,2004.642,59.57
56.4,5,10,2010.599,59.57
56.5,5,10,2016.557,59.58
56.6,5,10,2022.515,59.58
56.7,5,10,2028.473,59.58
56.8,5,10,2034.43,59.57
56.9,5,10,2040.388,59.58
57,5,10,2046.346,59.58
57.1,5,10,2052.304,59.58
57.2,5,10,2058.262,59.58
57.3,5,10,2064.221,59.59
57.4,5,10,2070.179,59.58
57.5,5,10,2076.137,59.58
57.6,5,10,2082.096,59.59
57.7,5,10,2088.054,59.58
57.8,5,10,2094.013,59.59
57.9,5,10,2099.971,59.58
58,5,10,2105.93,59.59
58.1,5,10,2111.889,59.59
58.2,5,10,2117.847,59.58
58.3,5,10,2123.806,59.59
58.4,5,10,2129.765,59.59
58.5,5,10,2135.724,59.59
58.6,5,10,2141.683,59.59
58.7,5,10,2147.642,59.59
58.8,5,10,2153.601,59.59
58.9,5,10,2159.56,59.59
59,5,10,2165.52,59.6
59.1,5,10,2171.479,59.59
59.2,5,10,2177.438,59.59
59.3,5,10,2183.398,59.6
59.4,5,10,2189.357,59.59
59.5,5,10,2195.316,59.59
59.6,5,10,2201.276,59.6
59.7,5,10,2207.235,59.59
59.8,5,10,2213.195,59.6
59.9,5,10,2219.155,59.6
60,5,10,2225.114,59.59
60.1,5,10,2231.074,59.6
60.2,5,10,2237.034,59.6
60.3,5,10,2242.994,59.6
60.4,5,10,2248.954,59.6
60.5,5,10,2254.913,59.59
60.6,5,10,2260.873,59.6
60.7,5,10,2266.833,59.6
60.8,5,10,2272.793,59.6
60.9,5,10,2278.753,59.6
61,5,10,2284.713,59.6
61.1,5,10,2290.674,59.61
61.2,5,10,2296.634,59.6
61.3,5,10,2302.594,59.6
61.4,5,10,2308.554,59.6
61.5,5,10,2314.514,59.6
61.6,5,10,2320.475,59.61
61.7,5,10,2326.435,59.6
61.8,5,10,2332.395,59.6
61.9,5,10,2338.356,59.61
62,5,10,2344.316,59.6
62.1,5,10,2350.276,59.6
62.2,5,10,2356.237,59.61
62.3,5,10,2362.197,59.6
62.4,5,10,2368.158,59.61
62.5,5,10,2374.118,59.6
62.6,5,10,2380.079,59.61
62.7,5,10,2386.04,59.61
62.8,5,10,2392,59.6
62.9,5,10,2397.961,59.61
63,5,10,2403.921,59.6
63.1,5,10,2409.882,59.61
63.2,5,10,2415.843,59.61
63.3,5,10,2421.804,59.61
63.4,5,10,2427.764,59.6
63.5,5,10,2433.725,59.61
63.6,5,10,2439.686,59.61
63.7,5,10,2445.647,59.61
63.8,5,10,2451.608,59.61
63.9,5,10,2457.569,59.61
64,5,10,2463.529,59.6
64.1,5,10,2469.49,59.61
64.2,5,10,2475.451,59.61
64.3,5,10,2481.412,59.61
64.4,5,10,2487.373,59.61
64.5,5,10,2493.334,59.61
64.6,5,10,2499.295,59.61
64.7,5,10,2505.256,59.61
64.8,5,10,2511.217,59.61
64.9,5,10,2517.178,59.61
65,5,10,2523.139,59.61
65.1,5,10,2529.1,59.61
65.2,5,10,2535.062,59.62
65.3,5,10,2541.023,59.61
65.4,5,10,2546.984,59.61
65.5,5,10,2552.945,59.61
65.6,5,10,2558.906,59.61
65.7,5,10,2564.867,59.61
65.8,5,10,2570.829,59.62
65.9,5,10,2576.79,59.61
66,5,10,2582.751,59.61
66.1,5,10,2588.712,59.61
66.2,5,10,2594.674,59.62
66.3,5,10,2600.635,59.61
66.4,5,10,2606.596,59.61
66.5,5,10,2612.557,59.61
66.6,5,10,2618.519,59.62
66.7,5,10,2624.48,59.61
66.8,5,10,2630.441,59.61
66.9,5,10,2636.403,59.62
67,5,10,2642.364,59.61
67.1,5,10,2648.325,59.61
67.2,5,10,2654.287,59.62
67.3,5,10,2660.248,59.61
67.4,5,10,2666.21,59.62
67.5,5,10,2672.171,59.61
67.6,5,10,2678.132,59.61
67.7,5,10,2684.094,59.62
67.8,5,10,2690.055,59.61
67.9,5,10,2696.017,59.62
68,5,10,2701.978,59.61
68.1,5,10,2707.94,59.62
68.2,5,10,2713.901,59.61
68.3,5,10,2719.863,59.62
68.4,5,10,2725.824,59.61
68.5,5,10,2731.786,59.62
68.6,5,10,2737.747,59.61
68.7,5,10,2743.709,59.62
68.8,5,10,2749.67,59.61
68.9,5,10,2755.632,59.62
69,5,10,2761.593,59.61
69.1,5,10,2767.555,59.62
69.2,5,10,2773.517,59.62
69.3,5,10,2779.478,59.61
69.4,5,10,2785.44,59.62
69.5,5,10,2791.401,59.61
69.6,5,10,2797.363,59.62
69.7,5,10,2803.325,59.62
69.8,5,10,2809.286,59.61
69.9,5,10,2815.248,59.62
70,5,10,2821.209,59.61
70.1,5,10,2827.171,59.62
70.2,5,10,2833.133,59.62
70.3,5,10,2839.094,59.61
70.4,5,10,2845.056,59.62
70.5,5,10,2851.018,59.62
70.6,5,10,2856.979,59.61
70.7,5,10,2862.941,59.62
70.8,5,10,2868.903,59.62
70.9,5,10,2874.864,59.61
71,5,10,2880.826,59.62
71.1,5,10,2886.788,59.62
71.2,5,10,2892.75,59.62
71.3,5,10,2898.711,59.61
71.4,5,10,2904.673,59.62
71.5,5,10,2910.635,59.62
71.6,5,10,2916.596,59.61
71.7,5,10,2922.558,59.62
71.8,5,10,2928.52,59.62
71.9,5,10,2934.482,59.62
72,5,10,2940.443,59.61
72.1,5,10,2946.405,59.62
72.2,5,10,2952.367,59.62
72.3,5,10,2958.329,59.62
72.4,5,10,2964.29,59.61
72.5,5,10,2970.252,59.62
72.6,5,10,2976.214,59.62
72.7,5,10,2982.176,59.62
72.8,5,10,2988.137,59.61
72.9,5,10,2994.099,59.62
73,5,10,3000.061,59.62
73.1,5,10,3006.023,59.62
73.2,5,10,3011.985,59.62
73.3,5,10,3017.946,59.61
73.4,5,10,3023.908,59.62
73.5,5,10,3029.87,59.62
73.6,5,10,3035.832,59.62
73.7,5,10,3041.794,59.62
73.8,5,10,3047.755,59.61
73.9,5,10,3053.717,59.62
74,5,10,3059.679,59.62
74.1,5,10,3065.641,59.62
74.2,5,10,3071.603,59.62
74.3,5,10,3077.565,59.62
74.4,5,10,3083.526,59.61
74.5,5,10,3089.488,59.62
74.6,5,10,3095.45,59.62
74.7,5,10,3101.412,59.62
74.8,5,10,3107.374,59.62
74.9,5,10,3113.336,59.62
75,5,10,3119.298,59.62
75.1,5,10,3125.259,59.61
75.2,5,10,3131.221,59.62
75.3,5,10,3137.183,59.62
75.4,5,10,3143.145,59.62
75.5,5,10,3149.107,59.62
75.6,5,10,3155.069,59.62
75.7,5,10,3161.031,59.62
75.8,5,10,3166.992,59.61
75.9,5,10,3172.954,59.62
76,5,10,3178.916,59.62
76.1,5,10,3184.878,59.62
76.2,5,10,3190.84,59.62
76.3,5,10,3196.802,59.62
76.4,5,10,3202.764,59.62
76.5,5,10,3208.726,59.62
76.6,5,10,3214.688,59.62
76.7,5,10,3220.649,59.61
76.8,5,10,3226.611,59.62
76.9,5,10,3232.573,59.62
77,5,10,3238.535,59.62
77.1,5,10,3244.497,59.62
77.2,5,10,3250.459,59.62
